Image Path,Predicted Gender,Predicted Age,Skin Tone,Target,Skin Tone Group,Intersection,Reliability Score Gender,Reliability Score Age,file
/AI_Face_imagesV2/Real/imdb_wiki/imdb/79/nm0000379_rm4285046272_1982-4-30_2002_face1.jpg,0,1,1,0,0,0,,,AIFace/imdb_wiki/imdb/79/nm0000379_rm4285046272_1982-4-30_2002_face1.jpg
/AI_Face_imagesV2/Real/imdb_wiki/wiki/22/2119922_1936-07-08_1961_face1.jpg,0,1,1,0,0,0,,,AIFace/imdb_wiki/wiki/22/2119922_1936-07-08_1961_face1.jpg
/AI_Face_imagesV2/Real/imdb_wiki/wiki/33/6670333_1991-07-10_2010_face1.jpg,0,1,1,0,0,0,,,AIFace/imdb_wiki/wiki/33/6670333_1991-07-10_2010_face1.jpg
/AI_Face_imagesV2/Real/imdb_wiki/imdb/06/nm0272706_rm452241408_1994-10-9_2012_face1.jpg,0,1,1,0,0,0,,,AIFace/imdb_wiki/imdb/06/nm0272706_rm452241408_1994-10-9_2012_face1.jpg
/AI_Face_imagesV2/Real/FFHQ/00032.png,0,1,1,0,0,0,,,AIFace/FFHQ/00032.png
/AI_Face_imagesV2/Real/FFHQ/23467.png,0,1,1,0,0,0,,,AIFace/FFHQ/23467.png
/AI_Face_imagesV2/Real/imdb_wiki/imdb/47/nm0005447_rm2614532864_1983-6-10_2002_face1.jpg,0,1,1,0,0,0,,,AIFace/imdb_wiki/imdb/47/nm0005447_rm2614532864_1983-6-10_2002_face1.jpg
/AI_Face_imagesV2/Real/FFHQ/40276.png,0,1,1,0,0,0,,,AIFace/FFHQ/40276.png
/AI_Face_imagesV2/Real/FFHQ/25694.png,0,1,1,0,0,0,,,AIFace/FFHQ/25694.png
/AI_Face_imagesV2/Real/imdb_wiki/wiki/12/42884912_1966-12-02_1991_face1.jpg,0,1,1,0,0,0,,,AIFace/imdb_wiki/wiki/12/42884912_1966-12-02_1991_face1.jpg
/AI_Face_imagesV2/Real/imdb_wiki/imdb/68/nm0004868_rm2056624640_1981-2-20_1999_face1.jpg,0,1,1,0,0,0,,,AIFace/imdb_wiki/imdb/68/nm0004868_rm2056624640_1981-2-20_1999_face1.jpg
/AI_Face_imagesV2/Real/FFHQ/15186.png,0,1,1,0,0,0,,,AIFace/FFHQ/15186.png
/AI_Face_imagesV2/Real/imdb_wiki/imdb/75/nm0032375_rm1033280000_1978-12-7_1999_face1.jpg,0,1,1,0,0,0,,,AIFace/imdb_wiki/imdb/75/nm0032375_rm1033280000_1978-12-7_1999_face1.jpg
/AI_Face_imagesV2/Real/imdb_wiki/imdb/90/nm0608090_rm3937568512_1977-5-13_1999_face1.jpg,0,1,1,0,0,0,,,AIFace/imdb_wiki/imdb/90/nm0608090_rm3937568512_1977-5-13_1999_face1.jpg
/AI_Face_imagesV2/Real/imdb_wiki/imdb/06/nm0272706_rm1760864256_1994-10-9_2012_face1.jpg,0,1,1,0,0,0,,,AIFace/imdb_wiki/imdb/06/nm0272706_rm1760864256_1994-10-9_2012_face1.jpg
/AI_Face_imagesV2/Real/FFHQ/20749.png,0,1,1,0,0,0,,,AIFace/FFHQ/20749.png
/AI_Face_imagesV2/Real/FFHQ/56986.png,0,1,1,0,0,0,,,AIFace/FFHQ/56986.png
/AI_Face_imagesV2/Real/FFHQ/22970.png,0,1,1,0,0,0,,,AIFace/FFHQ/22970.png
/AI_Face_imagesV2/Real/FFHQ/24564.png,0,1,2,0,0,0,,,AIFace/FFHQ/24564.png
/AI_Face_imagesV2/Real/FFHQ/10647.png,0,1,2,0,0,0,,,AIFace/FFHQ/10647.png
/AI_Face_imagesV2/Real/FFHQ/16912.png,0,1,2,0,0,0,,,AIFace/FFHQ/16912.png
